QueryID	BodyTerms	AnchorTerms	TitleTerms	URLTerms	TermsWholeDocument	IDFBody	IDFAnchor	IDFTitle	IDFURL	IDFWholeDocument	TFIDFBody	TFIDFAnchor	TFIDFTitle	TFIDFURL	TFIDFWholeDocument	LengthBody	LengthAnchor	LengthTitle	LengthURL	LengthWholeDocument	BM25Body	BM25Anchor	BM25Title	BM25URL	BM25WholeDocument	LMIRABSBody	LMIRABSAnchor	LMIRABSTitle	LMIRABSURL	LMIRABSWholeDocument	LMIRDIRBody	LMIRDIRAnchor	LMIRDIRTitle	LMIRDIRURL	LMIRDIRWholeDocument	LMIRIMBody	LMIRIMAnchor	LMIRIMTitle	LMIRIMURL	LMIRIMWholeDocument	PageRank	InlinkNum	OutlinkNum	NumSlashURL	LenURL	NumChildPages	Docid	frac_stop	cover_stop	entropy
3b7e962f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011719	0.0	0.0	0.0	93cefec12b2c	0.2391304347826087	0.06299212598425197	4.968254706881504
3b7e962f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016755	0.526316	1.0	0.833333	0.017676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.506809	0.25	0.007813	0.8	0.618182	0.0	3d27e08f9aef	0.4666666666666667	0.3228346456692913	7.584941713691079
3b7e962f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024217	0.0	0.0625	0.5	0.024201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023438	1.0	0.345455	0.0	4936a153dbdb	0.44140625	0.33070866141732286	7.94027957021002
3b7e962f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025288	0.0	0.125	0.5	0.025306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023438	1.0	0.381818	0.0	5ff6b9a03413	0.4312977099236641	0.33070866141732286	7.8741480631135925
3b7e962f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03724	0.368421	0.6875	0.5	0.037803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.180874	0.375	0.09375	0.6	0.381818	0.0	26f64577015d	0.4388586956521739	0.3700787401574803	8.092018795855418
3b7e962f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059903	0.789474	0.6875	1.0	0.06083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.003906	0.8	0.636364	0.0	f8c277b7b8b2	0.6075022872827082	0.49606299212598426	7.964999781236343
3b7e962f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.124642	0.052632	0.625	0.5	0.124905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.887959	0.125	0.019531	0.4	0.345455	0.0	ea7965b46290	0.1689017760057992	0.25984251968503935	8.381905262040755
3b7e962f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.145369	0.210526	0.0	0.833333	0.145446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.197184	0.125	0.0	1.0	0.963636	0.0	168f55096bae	0.11678832116788321	0.14960629921259844	7.494760692434577
3b7e962f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.181677	0.052632	0.0	0.666667	0.181592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.051992	0.125	0.0	0.6	0.381818	0.0	438b888ebb82	0.13656502475892623	0.2992125984251969	7.629730146787608
3b7e962f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.181711	0.052632	0.0	0.666667	0.181627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.051992	0.125	0.0	0.6	0.381818	0.0	b5781b51bdc3	0.13600833767587284	0.2992125984251969	7.632905784178624
